가감	ㄱㅏㄱㅏㅁ	더하거나 뺌.
주점	ㅈㅜㅈㅓㅁ	술을 파는 집.
주접	ㅈㅜㅈㅓㅂ	차림새가 초라하고 지저분함.
주정	ㅈㅜㅈㅓㅇ	술에 취해 보기에 좋지 않은 말이나 행동을 함. 또는 그런 말이나 행동.
주제	ㅈㅜㅈㅓㅣ	대화나 연구 등에서 중심이 되는 문제.
주종	ㅈㅜㅈㅗㅇ	여러 가지 가운데 중심이 되는 것.
주중	ㅈㅜㅈㅜㅇ	일주일 중 주말이 아닌 날.
주창	ㅈㅜㅊㅏㅇ	사상, 이론, 주의 등을 앞장서서 주장함.
주체	ㅈㅜㅊㅓㅣ	부담스럽거나 귀찮은 것을 잘 처리함.
주총	ㅈㅜㅊㅗㅇ	‘주주 총회’를 줄여 이르는 말.
주최	ㅈㅜㅊㅗㅣ	행사나 모임을 책임지고 맡아 기획하여 엶.
주축	ㅈㅜㅊㅜㄱ	전체 가운데서 중심이 되어 영향을 미치는 사람이나 대상.
주판	ㅈㅜㅍㅏㄴ	수를 계산하는 데에 쓰는, 막대에 구슬들을 꿰어 만든 도구.
주필	ㅈㅜㅍㅣㄹ	신문사나 잡지사 등에서 책의 편집을 책임지는 사람. 또는 그러한 직위.
주한	ㅈㅜㅎㅏㄴ	외국의 관리나 기관, 군대로서 한국에 머물러 있거나 살고 있음.
주해	ㅈㅜㅎㅏㅣ	본문의 뜻을 알기 쉽게 풀이함. 또는 그런 글.
주홍	ㅈㅜㅎㅗㅇ	붉은빛을 띤 빨강과 노랑의 중간색.
주화	ㅈㅜㅎㅗㅏ	쇠 등을 녹여서 만든 화폐.
죽기	ㅈㅜㄱㄱㅣ	대나무로 만든 그릇.
죽지	ㅈㅜㄱㅈㅣ	팔과 어깨가 이어진 부분.
준거	ㅈㅜㄴㄱㅓ	사물의 정도나 성격 등을 알기 위한 근거나 기준.
준마	ㅈㅜㄴㅁㅏ	빠르게 잘 달리는 좋은 말.
준비	ㅈㅜㄴㅂㅣ	미리 마련하여 갖춤.
준수	ㅈㅜㄴㅅㅜ	명령이나 규칙, 법률 등을 지킴.
준치	ㅈㅜㄴㅊㅣ	등은 어두운 청색이고 배는 은백색이며, 밴댕이와 비슷하게 생긴, 바다에 사는 물고기.
줄기	ㅈㅜㄹㄱㅣ	식물을 받치고 뿌리에서 빨아들인 수분이나 양분을 나르며, 잎이나 가지, 열매 등이 붙는 부분.
줄자	ㅈㅜㄹㅈㅏ	헝겊, 비닐, 강철 등으로 띠처럼 만든 자.
줄표	ㅈㅜㄹㅍㅛ	이미 말한 내용을 다른 말로 설명을 덧붙이거나 보충할 때에 쓰는 문장 부호 ‘―’의 이름.
중고	ㅈㅜㅇㄱㅗ	새것이 아니라 사용한 흔적이 있음. 또는 나오거나 만든 지 오래됨.
중기	ㅈㅜㅇㄱㅣ	어떤 기간의 중간이 되는 시기.
중도	ㅈㅜㅇㄷㅗ	일이 진행되고 있는 사이.
중류	ㅈㅜㅇㄹㅠ	흐르는 강이나 냇물의 중간 부분.
중부	ㅈㅜㅇㅂㅜ	어떤 지역의 가운데 부분.
중사	ㅈㅜㅇㅅㅏ	군대에서 상사의 아래, 하사의 위인 급. 또는 그 계급에 있는 군인.
중소	ㅈㅜㅇㅅㅗ	규모나 수준 등이 중간이거나 그 이하인 것.
중수	ㅈㅜㅇㅅㅜ	오래된 건물의 낡고 헌 부분을 손질하여 고침.
중시	ㅈㅜㅇㅅㅣ	매우 크고 중요하게 여김.
중요	ㅈㅜㅇㅇㅛ	귀중하고 꼭 필요함.
중지	ㅈㅜㅇㅈㅣ	하던 일을 중간에 멈추거나 그만둠.
중추	ㅈㅜㅇㅊㅜ	어떤 것의 중심이 되는 중요한 부분.
쥐치	ㅈㅜㅣㅊㅣ	마름모 모양인 푸른 갈색 또는 분홍색 몸통에 어두운 갈색 무늬가 있고 옆으로 납작한 바닷물고기.
쥐포	ㅈㅜㅣㅍㅗ	말린 쥐치를 기계로 납작하게 눌러 만든 음식.
즉사	ㅈㅡㄱㅅㅏ	그 자리에서 바로 죽음.
즉시	ㅈㅡㄱㅅㅣ	어떤 일이 벌어진 바로 그때.
즉효	ㅈㅡㄱㅎㅛ	약 등을 먹거나 발랐을 때 바로 나타나는 좋은 반응.
증가	ㅈㅡㅇㄱㅏ	수나 양이 더 늘어나거나 많아짐.
증거	ㅈㅡㅇㄱㅓ	어떤 사건이나 사실을 확인할 수 있는 근거.
증기	ㅈㅡㅇㄱㅣ	기체 상태로 되어 있는 물.
증류	ㅈㅡㅇㄹㅠ	액체에 열을 가하여 생긴 기체를 차갑게 식혀서 다시 액체로 만드는 일.
증보	ㅈㅡㅇㅂㅗ	출판된 책이나 글 등에 모자란 내용을 더 보탬.
증서	ㅈㅡㅇㅅㅓ	권리, 의무, 사실 등을 증명하는 문서.
증시	ㅈㅡㅇㅅㅣ	‘증권 시장’을 줄여 이르는 말.
증여	ㅈㅡㅇㅇㅕ	재산을 아무런 대가도 없이 다른 사람에게 넘겨줌.
증오	ㅈㅡㅇㅇㅗ	몹시 원망하고 미워함.
증자	ㅈㅡㅇㅈㅏ	자본을 늘림.
증조	ㅈㅡㅇㅈㅗ	아버지의 할아버지.
증표	ㅈㅡㅇㅍㅛ	어떠한 사실이나 사건을 증명하거나 증거가 되는 표.
증후	ㅈㅡㅇㅎㅜ	병을 앓을 때 나타나는 여러 가지 상태나 모양.
지각	ㅈㅣㄱㅏㄱ	사물의 이치를 깨닫는 능력.
지갑	ㅈㅣㄱㅏㅂ	돈, 카드, 명함 등을 넣어 가지고 다닐 수 있게 가죽이나 헝겊 등으로 만든 물건.
지게	ㅈㅣㄱㅓㅣ	나무로 등에 짐을 질 수 있도록 만든 한국 고유의 운반 도구.
지경	ㅈㅣㄱㅕㅇ	나라나 지역 등의 구간을 가르는 경계.
지국	ㅈㅣㄱㅜㄱ	본사나 본 방송국 등에서 갈라져 나가 일정한 지역에서 관련 사무를 맡아 하는 곳.
지금	ㅈㅣㄱㅡㅁ	말을 하고 있는 바로 이때.
지급	ㅈㅣㄱㅡㅂ	돈이나 물건을 정해진 만큼 내줌.
지능	ㅈㅣㄴㅡㅇ	사물이나 상황을 이해하고 대처하는 지적인 적응 능력.
지단	ㅈㅣㄷㅏㄴ	달걀의 흰자와 노른자를 따로 갈라서 얇게 부친 고명.
지대	ㅈㅣㄷㅏㅣ	일정한 구역의 땅.
지랄	ㅈㅣㄹㅏㄹ	(속된 말로) 마구 소란스럽고 분별없이 하는 행동.
지략	ㅈㅣㄹㅑㄱ	어떤 일이나 문제를 날카롭게 분석하여 해결책을 세우는 뛰어난 능력이나 방법.
지령	ㅈㅣㄹㅕㅇ	상부 조직이 하부 조직에게 지시나 명령을 내림. 또는 그 지시나 명령.
지론	ㅈㅣㄹㅗㄴ	전부터 늘 주장해 온 생각이나 이론.
지뢰	ㅈㅣㄹㅗㅣ	땅속에 묻어 두고 차나 사람이 그 위를 지나가면 폭발하도록 만든 폭약.
지름	ㅈㅣㄹㅡㅁ	원이나 구의 둘레 위의 두 점이 중심을 지나도록 직선으로 이은 선.
지망	ㅈㅣㅁㅏㅇ	어떤 전공이나 직업 등을 갖기를 바람. 또는 그렇게 바라는 전공이나 직업.
지면	ㅈㅣㅁㅕㄴ	땅의 바닥.
지명	ㅈㅣㅁㅕㅇ	마을이나 지방, 지역 등의 이름.
지목	ㅈㅣㅁㅗㄱ	특정 사람이나 사물이 어떠하다고 꼭 집어서 가리킴.
지문	ㅈㅣㅁㅜㄴ	교과서나 시험 문제 등에서 주어진 내용의 글.
지반	ㅈㅣㅂㅏㄴ	땅의 표면.
지방	ㅈㅣㅂㅏㅇ	행정 구획이나 어떤 특징 등에 의해 나누어지는 지역.
지배	ㅈㅣㅂㅏㅣ	어떤 사람이나 집단을 자신의 뜻대로 복종하게 하여 다스리거나 차지함.
지병	ㅈㅣㅂㅕㅇ	오랫동안 잘 낫지 않는 병.
지분	ㅈㅣㅂㅜㄴ	여러 사람들이 공동으로 소유한 물건이나 재산에서, 소유자들이 각자 가지는 몫. 또는 그런 비율.
지불	ㅈㅣㅂㅜㄹ	돈을 내거나 값을 치름.
지붕	ㅈㅣㅂㅜㅇ	집의 윗부분을 덮는 덮개.
지상	ㅈㅣㅅㅏㅇ	땅 위.
지석	ㅈㅣㅅㅓㄱ	죽은 사람에 관한 정보나 무덤이 있는 곳을 적어 무덤 앞이나 옆에 묻는 돌.
지성	ㅈㅣㅅㅓㅇ	지극한 정성.
지세	ㅈㅣㅅㅓㅣ	땅의 생긴 모양.
지속	ㅈㅣㅅㅗㄱ	어떤 일이나 상태가 오래 계속됨. 또는 어떤 일이나 상태를 오래 계속함.
지식	ㅈㅣㅅㅣㄱ	어떤 대상에 대하여 배우거나 직접 경험하여 알게 된 내용.
지압	ㅈㅣㅇㅏㅂ	몸의 한 부분을 손가락으로 누르거나 주무름.
지양	ㅈㅣㅇㅑㅇ	더 발전된 단계로 나아가기 위하여 어떤 것을 하지 않음.
지역	ㅈㅣㅇㅕㄱ	어떤 특징이나 일정한 기준에 따라 범위를 나눈 땅.
지연	ㅈㅣㅇㅕㄴ	태어났거나 사는 지역에 의해 맺어지는 인간관계.
지열	ㅈㅣㅇㅕㄹ	지구 안에 원래 있는 열.
지엽	ㅈㅣㅇㅕㅂ	식물의 가지와 잎.
지옥	ㅈㅣㅇㅗㄱ	살아 있을 때 죄를 지은 사람이 죽은 뒤에 가서 벌을 받는다는 곳.
지위	ㅈㅣㅇㅜㅣ	사회적 신분에 따른 계급이나 위치.
지읒	ㅈㅣㅇㅡㅈ	한글 자모 ‘ㅈ’의 이름.
지인	ㅈㅣㅇㅣㄴ	아는 사람.
지장	ㅈㅣㅈㅏㅇ	일에 나쁜 영향을 주거나 방해가 되는 장애.
지적	ㅈㅣㅈㅓㄱ	지식이나 지성에 관한 것.
지점	ㅈㅣㅈㅓㅁ	본점에서 따로 갈라져 나온 점포.
지정	ㅈㅣㅈㅓㅇ	가리켜 분명하게 정함.
지존	ㅈㅣㅈㅗㄴ	(높이는 말로) 임금.
지진	ㅈㅣㅈㅣㄴ	화산 활동이나 땅속의 큰 변화 때문에 땅이 흔들리는 현상.
지질	ㅈㅣㅈㅣㄹ	지구 표면을 이루고 있는 암석이나 땅의 성질이나 상태.
지참	ㅈㅣㅊㅏㅁ	모임 등에 무엇을 지니고 참여함.
지척	ㅈㅣㅊㅓㄱ	아주 가까운 거리.
지천	ㅈㅣㅊㅓㄴ	신분 등이 매우 천함.
지체	ㅈㅣㅊㅓㅣ	시간을 늦추거나 질질 끎.
지축	ㅈㅣㅊㅜㄱ	북극과 남극을 연결하는 지구의 자전축.
지출	ㅈㅣㅊㅜㄹ	어떤 목적으로 돈을 씀. 또는 그렇게 쓰는 돈.
지층	ㅈㅣㅊㅡㅇ	자갈, 모래, 진흙, 화산재 등이 오랜 시간 동안 쌓여 이루어진 층.
지침	ㅈㅣㅊㅣㅁ	나침반이나 계기판, 시계 등에 달려 있는 바늘.
지칭	ㅈㅣㅊㅣㅇ	어떤 대상을 가리켜 이르는 일. 또는 그런 이름.
지탄	ㅈㅣㅌㅏㄴ	잘못을 꼭 집어 비난함.
지평	ㅈㅣㅍㅕㅇ	넓고 평평한 땅.
지폐	ㅈㅣㅍㅕㅣ	종이로 만든 돈.
지향	ㅈㅣㅎㅑㅇ	어떤 목적이나 목표에 뜻을 둠. 또는 그렇게 하려는 의지.
지혈	ㅈㅣㅎㅕㄹ	나오는 피를 멈추게 함.
지형	ㅈㅣㅎㅕㅇ	땅의 생긴 모양.
지혜	ㅈㅣㅎㅕㅣ	삶의 이치와 옳고 그름을 잘 이해하고 판단하는 능력.
지휘	ㅈㅣㅎㅜㅣ	목적을 효과적으로 이루기 위해 단체의 행동을 다스림.
직구	ㅈㅣㄱㄱㅜ	야구에서, 투수가 변화를 주지 않고 곧게 던지는 공.
직녀	ㅈㅣㄱㄴㅕ	견우와 직녀 이야기에 나오는, 베를 짜는 일을 하는 여자. 은하수를 사이에 두고 남편 견우와 헤어져 있다가 일 년에 단 한 번, 음력 7월 7일에 까치와 까마귀가 놓아 준 다리인 오작교에서 견우와 만날 수 있다고 한다.
직류	ㅈㅣㄱㄹㅠ	곧게 흐름.
직무	ㅈㅣㄱㅁㅜ	직업상 맡은 일.
직시	ㅈㅣㄱㅅㅣ	정신을 집중하여 어떤 대상을 똑바로 봄.
직조	ㅈㅣㄱㅈㅗ	기계나 베틀 등으로 천을 짜는 일.
직후	ㅈㅣㄱㅎㅜ	어떤 일이 일어난 바로 뒤.
진가	ㅈㅣㄴㄱㅏ	참된 값어치.
진노	ㅈㅣㄴㄴㅗ	몹시 화를 내며 노여워함. 또는 그런 감정.
진도	ㅈㅣㄴㄷㅗ	일이 진행되는 속도나 정도.
진두	ㅈㅣㄴㄷㅜ	군대에서, 전투 대형의 맨 앞.
진로	ㅈㅣㄴㄹㅗ	앞으로 나아갈 길.
진료	ㅈㅣㄴㄹㅛ	의사가 환자를 진찰하고 치료함.
진리	ㅈㅣㄴㄹㅣ	참된 이치. 또는 참된 도리.
진미	ㅈㅣㄴㅁㅣ	음식의 아주 좋은 맛. 또는 아주 맛이 좋은 음식.
진보	ㅈㅣㄴㅂㅗ	정도나 수준이 나아지거나 높아짐.
진부	ㅈㅣㄴㅂㅜ	참과 거짓. 또는 진짜와 가짜.
진수	ㅈㅣㄴㅅㅜ	사물이나 현상의 가장 중요하고 근본적인 부분.
진자	ㅈㅣㄴㅈㅏ	줄 끝에 추를 매달아 옆으로 흔들리며 움직이게 만든 물체.
진주	ㅈㅣㄴㅈㅜ	진주조개의 조가비나 살 속에 생기는, 아름다운 광택이 나는 보석.
진지	ㅈㅣㄴㅈㅣ	(높임말로) 밥.
진토	ㅈㅣㄴㅌㅗ	티끌과 흙.
진피	ㅈㅣㄴㅍㅣ	척추동물의 가장 바깥쪽 피부 아래에서 피부를 형성하며, 모세 혈관과 신경이 들어 있는 조직.
질부	ㅈㅣㄹㅂㅜ	조카의 아내.
질서	ㅈㅣㄹㅅㅓ	많은 사람들이 모인 곳에서 혼란스럽지 않도록 지키는 순서나 차례.
질소	ㅈㅣㄹㅅㅗ	상온에서 기체 상태로 존재하며 공기의 약 78%를 이루는, 색깔이나 냄새, 맛이 없는 원소.
질시	ㅈㅣㄹㅅㅣ	밉게 봄.
질주	ㅈㅣㄹㅈㅜ	매우 빨리 달림.
질타	ㅈㅣㄹㅌㅏ	큰 소리로 잘못을 나무람.
질투	ㅈㅣㄹㅌㅜ	부부나 애인 사이에서 상대방이 다른 사람을 좋아할 경우에 지나치게 미워하고 싫어함.
짐차	ㅈㅣㅁㅊㅏ	주로 화물을 실어 나르는 자동차.
집기	ㅈㅣㅂㄱㅣ	집 안이나 사무실 등에서 쓰는 온갖 기구.
집도	ㅈㅣㅂㄷㅗ	수술이나 해부를 하기 위하여 수술용 칼을 잡음.
집무	ㅈㅣㅂㅁㅜ	사무를 실제로 해 나감.
집사	ㅈㅣㅂㅅㅏ	집주인을 가까이 모시면서 그 집의 일을 맡아보는 사람.
집시	ㅈㅣㅂㅅㅣ	헝가리를 중심으로 유럽, 서부 아시아, 아프리카, 미국에 퍼져 사는 유랑 민족.
집터	ㅈㅣㅂㅌㅓ	집이 있던 자리 또는 집이 있는 자리나, 집을 지을 자리.
징수	ㅈㅣㅇㅅㅜ	나라, 공공 단체, 지주 등이 돈, 곡식, 물품 등을 거두어들임.
징조	ㅈㅣㅇㅈㅗ	어떤 일이 일어날 것 같은 분위기나 느낌.
징표	ㅈㅣㅇㅍㅛ	어떤 것의 특별하거나 다른 점을 드러내 보이는 특징.
징후	ㅈㅣㅇㅎㅜ	어떤 일이 일어났거나 일어날 것을 나타내는 현상.
쪼다	ㅈㅈㅗㄷㅏ	(속된 말로) 조금 어리석고 모자라 자기가 마땅히 해야 할 일을 못하는 사람. 또는 그런 태도나 행동.
차남	ㅊㅏㄴㅏㅁ	둘째 아들.
차단	ㅊㅏㄷㅏㄴ	액체나 기체 등의 흐름을 막거나 끊어서 통하지 못하게 함.
차돌	ㅊㅏㄷㅗㄹ	빛깔이 희고 유리 광택이 있는 단단한 돌.
차등	ㅊㅏㄷㅡㅇ	고르거나 가지런하지 않고 차별이 있음. 또는 그렇게 대함.
차량	ㅊㅏㄹㅑㅇ	도로나 선로 위를 달리는 모든 차.
차렷	ㅊㅏㄹㅕㅅ	몸과 정신을 바로 하여 움직이지 않고 똑바로 서 있는 자세를 취하라는 구령에 따라 행하는 동작.
차례	ㅊㅏㄹㅕㅣ	어떤 일을 하거나 어떤 일이 일어나는 순서.
차림	ㅊㅏㄹㅣㅁ	옷이나 물건 등으로 꾸며서 갖춘 상태.
차명	ㅊㅏㅁㅕㅇ	남의 이름을 빌려 씀. 또는 빌려 쓴 이름.
차반	ㅊㅏㅂㅏㄴ	차를 달여 마시는 데에 쓰는 그릇이나 숟가락 등을 담는 조그마한 쟁반.
차별	ㅊㅏㅂㅕㄹ	둘 이상을 차등을 두어 구별함.
차선	ㅊㅏㅅㅓㄴ	최선의 다음.
차압	ㅊㅏㅇㅏㅂ	→ 압류
차양	ㅊㅏㅇㅑㅇ	햇볕이나 비를 막기 위해 처마나 창문 끝에 덧붙이는 물건.
차용	ㅊㅏㅇㅛㅇ	돈이나 물건 등을 빌려서 씀.
차익	ㅊㅏㅇㅣㄱ	물건을 사고판 결과나 가격, 시세의 변동으로 생기는 이익.
차일	ㅊㅏㅇㅣㄹ	햇볕을 가리기 위하여 치는 포장.
차입	ㅊㅏㅇㅣㅂ	돈이나 물건을 외부에서 빌림.
차장	ㅊㅏㅈㅏㅇ	관공서나 회사 등에서 가장 높은 장 다음가는 직위. 또는 그 직위에 있는 사람.
차제	ㅊㅏㅈㅓㅣ	때마침 주어진 기회.
차종	ㅊㅏㅈㅗㅇ	자동차나 철도 차량 등의 종류.
차질	ㅊㅏㅈㅣㄹ	일이 정상적으로 이루어지지 않고 늦어지거나 틀어짐.
차창	ㅊㅏㅊㅏㅇ	기차나 자동차 등에 달린 창문.
차체	ㅊㅏㅊㅓㅣ	자동차나 기차 등의 몸체.
차출	ㅊㅏㅊㅜㄹ	어떤 일을 시키기 위하여 사람을 뽑음.
차편	ㅊㅏㅍㅕㄴ	물건을 옮기거나 사람이 이동하기 위해 차를 이용하는 기회나 수단.
착수	ㅊㅏㄱㅅㅜ	새로운 일을 시작함.
착시	ㅊㅏㄱㅅㅣ	착각하여 잘못 보는 현상.
착오	ㅊㅏㄱㅇㅗ	착각을 하여 생각이나 행동을 잘못함. 또는 그런 잘못.
착지	ㅊㅏㄱㅈㅣ	공중에서 땅으로 내림. 또는 그런 곳.
찬가	ㅊㅏㄴㄱㅏ	아름답거나 훌륭한 것을 칭찬하고 기리는 노래나 글.
찬기	ㅊㅏㄴㄱㅣ	차가운 기운.
찬미	ㅊㅏㄴㅁㅣ	아름답고 훌륭한 것 등을 높여 말하며 칭찬함.
찬비	ㅊㅏㄴㅂㅣ	차가운 비.
찬사	ㅊㅏㄴㅅㅏ	훌륭함을 드러내어 칭찬하는 말이나 글.
찬조	ㅊㅏㄴㅈㅗ	어떤 일에 뜻을 같이하여 도와줌.
찰나	ㅊㅏㄹㄴㅏ	어떤 일이나 현상이 일어나는 바로 그때.
찰벼	ㅊㅏㄹㅂㅕ	낟알에 끈기가 있는 벼.
참가	ㅊㅏㅁㄱㅏ	모임이나 단체, 경기, 행사 등의 자리에 가서 함께함.
참고	ㅊㅏㅁㄱㅗ	살펴 생각하여 도움을 얻음.
참모	ㅊㅏㅁㅁㅗ	윗사람의 곁에서 의견을 내어 도움. 또는 그런 사람.
참사	ㅊㅏㅁㅅㅏ	비참하고 끔찍한 일.
참여	ㅊㅏㅁㅇㅕ	여러 사람이 같이 하는 어떤 일에 끼어들어 함께 일함.
참조	ㅊㅏㅁㅈㅗ	어떤 일을 그와 관련된 다른 일과 참고로 비교하고 대조해 봄.
참치	ㅊㅏㅁㅊㅣ	몸은 3미터 정도이고 등이 푸르며 살이 검붉은, 주로 회나 통조림으로 먹는 바닷물고기.
참호	ㅊㅏㅁㅎㅗ	야외 전투에서 적의 공격을 막고 몸을 숨기기 위하여 땅에 판 구덩이.
창가	ㅊㅏㅇㄱㅏ	창문과 가까운 곳이나 옆.
창고	ㅊㅏㅇㄱㅗ	여러 가지 물건을 모아 두거나 넣어 두는 곳.
창구	ㅊㅏㅇㄱㅜ	안과 밖의 의사소통이 가능하도록 창을 내거나 뚫어 놓은 곳.
창녀	ㅊㅏㅇㄴㅕ	몸을 파는 것이 직업인 여자.
창시	ㅊㅏㅇㅅㅣ	어떤 일이나 사상, 학설 등을 처음 시작하거나 내세움.
창자	ㅊㅏㅇㅈㅏ	사람이나 동물의 큰창자와 작은창자.
창조	ㅊㅏㅇㅈㅗ	전에 없던 것을 처음으로 만들거나 새롭게 이룩함.
창포	ㅊㅏㅇㅍㅗ	온몸에 향기가 있고 여름에 꽃이 피며, 뿌리는 약으로 쓰거나 단오에 머리를 감는 데에 쓰는 식물.
창피	ㅊㅏㅇㅍㅣ	체면이 깎이는 어떤 일이나 사실 때문에 몹시 부끄러움.
채도	ㅊㅏㅣㄷㅗ	색의 산뜻하고 뚜렷한 정도.
채무	ㅊㅏㅣㅁㅜ	어떤 사람이 다른 사람에게 어떤 행위를 해야 할 의무.
채비	ㅊㅏㅣㅂㅣ	어떤 일을 위해 필요한 물건이나 자세 등이 미리 갖추어지거나 그렇게 되게 함. 또는 그 물건이나 자세.
채소	ㅊㅏㅣㅅㅗ	밭에서 기르며 주로 그 잎이나 줄기, 열매를 먹는 농작물.
처남	ㅊㅓㄴㅏㅁ	아내의 남동생을 이르거나 부르는 말.
처단	ㅊㅓㄷㅏㄴ	결정적인 판단을 내려 처치하거나 처리함.
처방	ㅊㅓㅂㅏㅇ	병을 치료하기 위해 약을 짓는 방법.
처벌	ㅊㅓㅂㅓㄹ	범죄를 저지른 사람에게 국가나 특정 기관이 제재나 벌을 줌. 또는 그러한 벌.
처분	ㅊㅓㅂㅜㄴ	물건이나 재산 등을 처리하여 치움.
처세	ㅊㅓㅅㅓㅣ	사람들과 사귀며 세상을 살아감. 또는 그런 일.
처신	ㅊㅓㅅㅣㄴ	세상을 살아나가는 데 필요한 몸가짐이나 행동.
처음	ㅊㅓㅇㅡㅁ	차례나 시간상으로 맨 앞.
처장	ㅊㅓㅈㅏㅇ	행정 기관이나 사무 부서의 하나인 처의 책임자.
처제	ㅊㅓㅈㅓㅣ	아내의 여동생을 이르거나 부르는 말.
처첩	ㅊㅓㅊㅓㅂ	아내와 첩.
처형	ㅊㅓㅎㅕㅇ	아내의 언니를 이르거나 부르는 말.
척도	ㅊㅓㄱㄷㅗ	자로 재는 길이의 표준.
척수	ㅊㅓㄱㅅㅜ	척추의 뼈 속에 있는, 신경 세포가 모인 부분.
척추	ㅊㅓㄱㅊㅜ	머리 아래에서 엉덩이 부위까지의 뼈가 줄지어 있는 신체 부위.
천거	ㅊㅓㄴㄱㅓ	사람을 소개하거나 추천함.
천고	ㅊㅓㄴㄱㅗ	아주 먼 옛날.
천기	ㅊㅓㄴㄱㅣ	하늘에 나타난 낌새.
천도	ㅊㅓㄴㄷㅗ	수도를 옮김.
천리	ㅊㅓㄴㄹㅣ	만물에 작용하는 자연의 이치. 또는 하늘의 바른 도리.
천부	ㅊㅓㄴㅂㅜ	기독교에서, 삼위일체 중 하나인 하나님 아버지.
천사	ㅊㅓㄴㅅㅏ	하늘에서 내려와 인간에게 신의 뜻을 전하며 신과 인간을 이어 주는 심부름꾼.
천시	ㅊㅓㄴㅅㅣ	낮추어 보거나 천하게 여김.
천지	ㅊㅓㄴㅈㅣ	하늘과 땅.
천추	ㅊㅓㄴㅊㅜ	오래고 긴 세월. 또는 먼 미래.
천치	ㅊㅓㄴㅊㅣ	어리석고 못난 사람.
천하	ㅊㅓㄴㅎㅏ	하늘 아래 온 세상. 또는 한 나라 전체.
철거	ㅊㅓㄹㄱㅓ	건물이나 시설을 무너뜨려 없애거나 걷어치움.
철교	ㅊㅓㄹㄱㅛ	철로 만든 다리.
철기	ㅊㅓㄹㄱㅣ	쇠로 만든 그릇이나 도구.
철도	ㅊㅓㄹㄷㅗ	기차나 전차 등이 다니는 쇠로 만든 길.
철로	ㅊㅓㄹㄹㅗ	기차, 전차 등이 다니는 쇠로 만든 길.
철마	ㅊㅓㄹㅁㅏ	(비유적으로) 쇠로 만든 말이라는 뜻으로, 기차.
철모	ㅊㅓㄹㅁㅗ	전투할 때 총알이나 포탄의 파편으로부터 머리를 보호하기 위해 쓰는 모자.
철사	ㅊㅓㄹㅅㅏ	쇠로 만든 가는 줄.
철수	ㅊㅓㄹㅅㅜ	있던 곳에서 시설이나 장비 등을 거두어 가지고 물러남.
철야	ㅊㅓㄹㅇㅑ	어떤 일 때문에 잠을 자지 않고 밤을 보냄.
철자	ㅊㅓㄹㅈㅏ	자음과 모음을 맞추어 하나의 글자를 만드는 일. 또는 그렇게 만든 글자.
철저	ㅊㅓㄹㅈㅓ	어떤 일을 하는 데 있어서 매우 조심하여 부족함이 없이 완벽함.
첨가	ㅊㅓㅁㄱㅏ	이미 있는 것에 새로운 것을 덧붙이거나 보탬.
첨부	ㅊㅓㅁㅂㅜ	서류나 편지 등에 그와 관련된 문서를 덧붙임.
첩보	ㅊㅓㅂㅂㅗ	상대의 정보나 형편을 몰래 알아내어 자기 편에 알리는 것. 또는 그런 알림.
첩자	ㅊㅓㅂㅈㅏ	다른 나라나 단체의 비밀스러운 정보를 알아내어 자신의 나라나 단체에 넘겨주는 일을 하는 사람.
첫차	ㅊㅓㅅㅊㅏ	그날의 맨 처음 떠나는 차.
청구	ㅊㅓㅇㄱㅜ	다른 사람에게 돈이나 물건 등을 달라고 요구함.
청사	ㅊㅓㅇㅅㅏ	역사상의 기록.
청소	ㅊㅓㅇㅅㅗ	더럽고 지저분한 것을 깨끗하게 치움.
청유	ㅊㅓㅇㅇㅠ	말하는 사람이 듣는 사람에게 어떤 것을 같이 하자고 요청함. 또는 그런 일.
청자	ㅊㅓㅇㅈㅏ	진흙을 빚어 유약을 발라 높은 열로 구운, 푸른빛을 띠는 자기.
청주	ㅊㅓㅇㅈㅜ	다 익은 술에서 맑은 부분만 떠낸 술.
체구	ㅊㅓㅣㄱㅜ	몸의 크기나 부피.
체류	ㅊㅓㅣㄹㅠ	집을 떠나 어떤 곳에 가서 머물러 있음.
체모	ㅊㅓㅣㅁㅗ	몸에 난 털.
체스	ㅊㅓㅣㅅㅡ	장기와 비슷한 서양 놀이.
체조	ㅊㅓㅣㅈㅗ	일정한 형식에 맞게 몸을 움직임. 또는 그런 운동.
체코	ㅊㅓㅣㅋㅗ	유럽 중부에 있는 나라. 중공업이 발달하였으며, 주요 생산물로는 밀, 포도 등이 있다. 주요 언어는 체코어이고 수도는 프라하이다.
체크	ㅊㅓㅣㅋㅡ	어떤 물건이나 일 등의 상태를 검사함.
체포	ㅊㅓㅣㅍㅗ	죄를 지었거나 죄를 지었을 것으로 의심되는 사람을 잡음.
초경	ㅊㅗㄱㅕㅇ	하룻밤을 다섯으로 나눈 오경의 첫째 부분으로, 저녁 일곱 시부터 아홉 시 사이.
초과	ㅊㅗㄱㅗㅏ	일정한 기준을 넘음.
초급	ㅊㅗㄱㅡㅂ	가장 처음이거나 가장 낮거나 쉬운 등급이나 단계.
초년	ㅊㅗㄴㅕㄴ	사람의 일생에서 초기인 젊은 시절.
초대	ㅊㅗㄷㅏㅣ	어떤 자리나 지위가 이어질 때 그 첫 번째.
초동	ㅊㅗㄷㅗㅇ	어떤 일을 할 때, 맨 처음에 하는 행동.
